7740
[9, 8, 16, 2, 9, 9, 8, 4, 9, 13]
[8, 16, 2, 9, 9, 4, 13, 8, 9, 9]
[9, 16, 13, 4, 8, 9, 9, 9, 2, 8]
[9, 9, 16, 4, 8, 9, 9, 8, 13, 2]
[8, 9, 9, 8, 13, 4, 9, 9, 16, 2]
[9, 2, 4, 8, 8, 13, 16, 9, 9, 9]
[9, 13, 16, 4, 8, 2, 8, 9, 9, 9]
[13, 8, 9, 8, 9, 16, 9, 9, 2, 4]
[13, 8, 9, 9, 9, 8, 16, 4, 2, 9]
[16, 9, 8, 8, 8, 9, 2, 9, 13, 9]
[9, 9, 13, 2, 8, 8, 16, 9, 9, 8]
[9, 9, 9, 2, 16, 8, 4, 8, 9, 13]
[8, 9, 4, 9, 2, 16, 9, 13, 9, 8]
[8, 2, 9, 13, 8, 9, 16, 9, 4, 9]
[13, 8, 4, 2, 9, 9, 9, 9, 16, 8]
[16, 9, 4, 8, 9, 8, 13, 2, 9, 9]
