6390
[4, 9, 9, 9, 8, 9, 9, 8, 3, 8]
[9, 8, 9, 9, 8, 9, 8, 3, 9, 4]
[9, 3, 4, 9, 8, 8, 9, 8, 9, 9]
[5, 5, 5, 5, 8, 8, 8, 5, 8, 9]
[8, 9, 9, 3, 8, 8, 9, 9, 9, 4]
[4, 8, 9, 9, 9, 8, 3, 8, 9, 9]
[8, 5, 5, 8, 8, 5, 9, 8, 5, 5]
[8, 8, 5, 8, 5, 9, 5, 5, 8, 5]
[9, 9, 8, 4, 8, 3, 9, 9, 9, 8]
[9, 3, 9, 9, 8, 9, 8, 9, 4, 8]
[9, 4, 8, 9, 3, 9, 8, 9, 9, 8]
[9, 8, 3, 9, 9, 8, 4, 8, 9, 9]
[5, 5, 9, 8, 5, 8, 5, 8, 5, 8]
[8, 9, 4, 9, 3, 9, 9, 8, 9, 8]
[8, 5, 8, 9, 5, 5, 8, 5, 5, 8]
[4, 9, 9, 8, 3, 8, 9, 9, 8, 9]
[8, 8, 4, 8, 9, 9, 9, 9, 3, 9]
[4, 9, 8, 8, 9, 3, 9, 8, 9, 9]
[3, 8, 8, 4, 9, 8, 9, 9, 9, 9]
[9, 9, 9, 3, 8, 8, 9, 4, 8, 9]
[9, 5, 8, 5, 5, 8, 5, 8, 5, 8]
[9, 3, 8, 9, 4, 9, 8, 9, 9, 8]
[9, 9, 9, 4, 8, 8, 9, 3, 9, 8]
[9, 9, 9, 9, 3, 9, 8, 8, 8, 4]
[5, 5, 8, 8, 8, 5, 5, 9, 5, 8]
[8, 8, 8, 8, 5, 5, 9, 5, 5, 5]
[5, 9, 5, 8, 8, 5, 8, 8, 5, 5]
[9, 3, 4, 8, 8, 9, 9, 8, 9, 9]
[8, 8, 5, 5, 5, 5, 8, 5, 8, 9]
[8, 8, 5, 8, 8, 5, 9, 5, 5, 5]
[9, 8, 8, 9, 3, 9, 8, 9, 4, 9]
[9, 9, 8, 8, 9, 8, 9, 4, 3, 9]
[8, 9, 9, 8, 9, 9, 3, 8, 4, 9]
[9, 4, 9, 9, 8, 8, 9, 3, 8, 9]
[4, 9, 3, 9, 9, 8, 9, 8, 9, 8]
