7830
[19, 15, 15, 7, 7, 10, 21, 7, 7, 7]
[10, 7, 7, 19, 21, 15, 7, 15, 7, 7]
[10, 7, 7, 15, 7, 21, 19, 7, 15, 7]
[7, 19, 21, 15, 10, 7, 7, 7, 15, 7]
[21, 7, 7, 19, 7, 7, 10, 15, 7, 15]
[15, 7, 15, 21, 7, 7, 10, 7, 19, 7]
[7, 15, 7, 19, 7, 10, 15, 21, 7, 7]
[21, 19, 11, 11, 11, 11, 3, 6, 11, 15]
[15, 21, 7, 7, 15, 10, 19, 7, 7, 7]
[7, 7, 19, 15, 7, 15, 7, 21, 7, 10]
[7, 7, 19, 7, 15, 21, 7, 15, 10, 7]
[15, 7, 21, 7, 19, 7, 10, 7, 15, 7]
[7, 7, 10, 19, 15, 7, 15, 7, 7, 21]
[15, 7, 19, 7, 21, 10, 7, 7, 15, 7]
[7, 7, 7, 7, 7, 15, 15, 21, 10, 19]
[7, 7, 21, 15, 19, 15, 7, 10, 7, 7]
[15, 10, 7, 15, 19, 21, 7, 7, 7, 7]
