9000
[15, 21, 4, 7, 24, 11, 21, 17, 25, 27, 0, 6, 8, 13, 24]
[11, 0, 21, 4, 6, 27, 13, 25, 17, 15, 7, 8, 21, 24, 24]
[24, 27, 25, 17, 8, 11, 0, 4, 15, 13, 21, 21, 6, 7, 24]
[8, 15, 7, 17, 13, 24, 25, 24, 0, 11, 27, 6, 21, 21, 4]
[25, 0, 13, 6, 7, 4, 21, 24, 21, 15, 27, 11, 8, 24, 17]
[25, 21, 15, 24, 4, 0, 21, 6, 27, 11, 13, 8, 7, 24, 17]
[21, 27, 25, 21, 0, 11, 4, 13, 24, 15, 17, 24, 8, 6, 7]
[13, 8, 7, 17, 6, 21, 25, 27, 4, 0, 24, 11, 21, 15, 24]
[25, 21, 7, 4, 11, 13, 0, 15, 17, 8, 24, 27, 24, 21, 6]
[0, 24, 25, 24, 21, 15, 21, 13, 8, 6, 27, 7, 11, 4, 17]
[7, 11, 0, 25, 4, 15, 8, 6, 21, 17, 24, 24, 13, 27, 21]
[13, 15, 4, 27, 21, 17, 24, 11, 7, 25, 24, 8, 6, 21, 0]
[11, 17, 4, 8, 0, 27, 21, 6, 15, 13, 24, 21, 25, 7, 24]
[21, 25, 4, 15, 24, 21, 24, 6, 0, 8, 27, 13, 11, 17, 7]
[25, 0, 27, 17, 11, 15, 8, 24, 21, 6, 21, 7, 24, 13, 4]
[13, 8, 15, 6, 11, 7, 24, 25, 27, 24, 4, 21, 21, 0, 17]
[7, 24, 15, 21, 11, 4, 25, 17, 27, 21, 13, 24, 8, 6, 0]
[17, 11, 27, 0, 15, 4, 21, 8, 25, 7, 6, 24, 24, 21, 13]
[15, 13, 8, 24, 21, 25, 11, 24, 0, 17, 4, 21, 27, 6, 7]
[7, 8, 11, 21, 13, 27, 15, 6, 25, 24, 24, 17, 4, 0, 21]
[24, 15, 27, 25, 8, 6, 21, 7, 17, 13, 4, 0, 11, 24, 21]
[7, 8, 4, 11, 24, 24, 17, 15, 21, 21, 13, 0, 6, 27, 25]
[25, 13, 11, 0, 21, 15, 24, 17, 6, 4, 8, 27, 7, 21, 24]
[27, 24, 6, 25, 21, 7, 11, 8, 4, 17, 21, 24, 0, 13, 15]
[17, 24, 13, 21, 0, 27, 7, 24, 6, 4, 8, 15, 21, 25, 11]
[7, 0, 8, 24, 15, 13, 27, 11, 24, 25, 21, 17, 4, 6, 21]
[7, 11, 21, 25, 24, 17, 27, 24, 0, 4, 21, 6, 13, 8, 15]
[24, 7, 15, 27, 8, 0, 25, 21, 24, 4, 21, 17, 6, 13, 11]
[27, 24, 21, 8, 6, 25, 11, 13, 15, 7, 24, 4, 17, 0, 21]
[0, 15, 8, 24, 27, 6, 25, 4, 21, 21, 7, 11, 13, 24, 17]
[25, 8, 24, 21, 15, 21, 4, 24, 7, 27, 17, 6, 0, 13, 11]
[17, 8, 4, 21, 0, 13, 11, 15, 7, 27, 6, 25, 24, 21, 24]
[24, 25, 17, 24, 11, 15, 13, 21, 21, 27, 0, 8, 6, 4, 7]
[27, 21, 17, 15, 7, 6, 8, 0, 11, 24, 25, 4, 21, 13, 24]
[4, 13, 25, 11, 24, 24, 21, 17, 6, 8, 7, 27, 0, 15, 21]
[27, 13, 8, 21, 6, 15, 17, 24, 0, 25, 7, 24, 4, 21, 11]
[4, 21, 11, 6, 24, 8, 0, 27, 13, 24, 21, 15, 25, 17, 7]
[21, 6, 15, 8, 21, 0, 4, 24, 25, 27, 17, 13, 24, 7, 11]
[4, 21, 21, 0, 27, 8, 11, 15, 17, 6, 7, 24, 25, 13, 24]
[24, 21, 17, 0, 4, 15, 21, 11, 8, 7, 6, 13, 27, 25, 24]
[4, 27, 21, 8, 11, 6, 0, 17, 7, 24, 25, 21, 15, 13, 24]
[6, 11, 27, 25, 4, 13, 21, 21, 7, 0, 24, 15, 8, 24, 17]
[15, 7, 13, 21, 24, 11, 25, 4, 24, 8, 17, 6, 27, 0, 21]
[21, 8, 6, 13, 24, 25, 17, 11, 4, 27, 24, 0, 21, 15, 7]
[8, 0, 27, 21, 13, 24, 15, 17, 4, 6, 11, 7, 24, 25, 21]
[4, 21, 24, 24, 11, 7, 25, 6, 17, 21, 8, 13, 0, 27, 15]
[8, 6, 7, 0, 25, 21, 24, 21, 15, 27, 24, 4, 13, 11, 17]
[17, 8, 15, 27, 21, 24, 21, 0, 11, 6, 25, 4, 13, 24, 7]
[7, 11, 21, 0, 21, 13, 15, 27, 4, 6, 8, 24, 25, 17, 24]
[15, 11, 25, 7, 24, 24, 21, 8, 6, 0, 13, 4, 21, 17, 27]
[21, 7, 4, 24, 21, 24, 17, 11, 27, 0, 13, 15, 8, 25, 6]
[27, 13, 24, 0, 4, 21, 15, 21, 17, 7, 25, 6, 8, 11, 24]
[27, 24, 21, 17, 21, 6, 8, 24, 25, 13, 11, 0, 7, 15, 4]
[0, 21, 11, 24, 27, 13, 24, 17, 25, 21, 8, 6, 15, 4, 7]
[15, 8, 11, 21, 13, 24, 27, 6, 17, 24, 0, 25, 4, 7, 21]
[8, 27, 7, 24, 24, 21, 6, 21, 13, 25, 17, 11, 15, 0, 4]
[24, 11, 21, 13, 27, 24, 17, 0, 4, 7, 15, 8, 6, 21, 25]
